"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
12000,"36 Months",1,"NOne",36000,"0","CA",20.33,"None",36807.18125,675,1,49,7,"None",24029,70.3,18,61,"None","0"
19375,"36 Months",4,"NOne",50000,"Debt Consolidation","",24.33,"None",37003.31042,695,0,52,8,"None",8433,44.9,19,0,"None","0"
2000,"36 Months",0.5,"NOne",12000,"Medical","AL",14.9,"None",34761.31875,755,0,34,5,"None",2234,21.6,10,375,"None","0"
13200,"36 Months",3,"MORTGAGE",45000,"Debt Consolidation","AL",7.09,"None",38041.28264,710,0,0,6,"None",12469,59.9,13,159,"None","0"
5000,"36 Months",0.5,"MORTGAGE",81000,"Medical","CA",15.21,"None",34640.12083,675,0,24,9,"None",1015,25.4,19,123,"None","0"
4500,"36 Months",10,"MORTGAGE",89016,"Medical","",6.77,"None",34258.49861,785,0,0,12,"None",6986,12.3,38,80,"None","0"
30000,"60 Months",5,"NOne",67588,"Home Improvement","AL",24.36,"None",37752.18681,690,0,0,10,"None",24217,86.5,21,891,"None","0"
20000,"36 Months",5,"NOne",87000,"0","CA",12.95,"None",30000,695,0,0,12,"None",21557,66.1,20,245,"None","0"
35000,"60 Months",10,"MORTGAGE",75000,"0","CA",13.65,"None",35114.11042,750,0,0,12,"None",43545,49.3,31,347,"None","0"
18500,"36 Months",4,"NOne",34300,"Debt Consolidation","",13.33,"None",34964.23472,715,0,45,7,"None",18179,34.4,30,52,"None","0"
14800,"36 Months",10,"NOne",30000,"Debt Consolidation","CA",15.52,"None",36163.34931,735,1,0,6,"None",8458,28.6,14,60,"None","0"
20000,"36 Months",2,"NOne",70000,"Debt Consolidation","AL",8.16,"None",36723.19444,695,2,30,12,"None",3153,28.9,20,1,"None","0"
20000,"36 Months",10,"MORTGAGE",170000,"Debt Consolidation","",6.2,"None",34696.21111,715,1,79,15,"None",10261,29.1,36,135,"None","0"
30000,"60 Months",6,"MORTGAGE",138000,"Debt Consolidation","AZ",9.79,"None",34000.11806,740,1,0,18,"None",26279,36.1,60,270,"None","0"
5000,"36 Months",10,"MORTGAGE",130000,"Debt Consolidation","CA",14.92,"None",30000,680,0,30,15,"None",28623,69.6,51,122,"None","0"
6000,"36 Months",10,"NOne",64668,"0","CA",11.58,"None",35467.45347,715,0,0,5,"None",5518,98.3,13,845,"None","0"
8000,"60 Months",9,"MORTGAGE",115000,"0","",23.35,"None",31972.05833,700,2,44,14,"None",23057,60.1,55,211,"None","0"
8000,"36 Months",5,"MORTGAGE",40000,"Debt Consolidation","CA",6.47,"None",39027.05347,695,0,0,3,"None",5724,56.7,6,193,"None","0"
6000,"60 Months",5,"MORTGAGE",67000,"0","CA",18.56,"None",36924.12361,700,0,0,18,"None",30727,65.8,33,1000,"None","0"
6000,"36 Months",6,"NOne",33000,"Medical","AZ",5.02,"None",38525.25417,675,0,39,8,"None",5444,30.9,12,0,"None","0"
3500,"36 Months",1,"MORTGAGE",35000,"Medical","CA",23.45,"None",36080.35833,660,0,0,4,"None",5369,89.5,27,163,"None","0"
4000,"60 Months",10,"MORTGAGE",50220,"0","AL",12.52,"None",36425.22431,680,1,0,3,"None",1609,73.1,22,105,"None","0"
2000,"36 Months",4,"NOne",27000,"Debt Consolidation","AZ",21.56,"None",37987.35764,715,1,0,8,"None",8344,42.8,13,511,"None","0"
20400,"60 Months",10,"MORTGAGE",123874,"Debt Consolidation","CA",22.09,"Eight",35189.33403,695,2,10,26,"None",22824,61,63,186,"None","0"
