"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
8000,"36 Months",3,"NOne",48000,"Debt Consolidation","AZ",15.13,"None",36654.30556,720,3,0,10,"None",11289,47.8,15,405,"None","0"
3000,"36 Months",9,"MORTGAGE",50000,"Home Improvement","AZ",5.35,"None",30937.44097,760,0,0,17,"None",21050,0.7,29,17,"None","0"
3000,"36 Months",5,"MORTGAGE",62000,"Home Improvement","CA",12.23,"None",36578.16597,735,0,0,10,"None",3678,30.7,14,89,"None","0"
12750,"36 Months",1,"NOne",60000,"0","AL",19.52,"None",36609.32708,665,2,0,9,"None",33074,68.8,9,500,"None","0"
4000,"36 Months",1,"MORTGAGE",61800,"Medical","AL",3.46,"None",36791.13125,745,0,0,12,"None",1918,17.1,16,234,"None","0"
4800,"36 Months",5,"NOne",30000,"Debt Consolidation","CA",12.36,"None",37547.37153,680,0,0,9,"None",12310,86.1,15,112,"None","0"
12125,"36 Months",10,"MORTGAGE",150000,"Debt Consolidation","AL",4.8,"None",30000,765,0,0,10,"None",50000,39.1,27,174,"None","0"
9500,"36 Months",2,"MORTGAGE",63000,"Medical","AL",3.49,"None",33383.05069,790,1,0,13,"None",40384,9.2,28,52,"None","0"
5000,"36 Months",0.5,"NOne",45000,"Debt Consolidation","AZ",5,"None",37191.53403,760,2,0,8,"None",1359,5.6,16,133,"None","0"
10000,"36 Months",9,"MORTGAGE",2e+05,"Debt Consolidation","AL",20,"None",30000,725,2,0,18,"None",50000,44.8,34,40,"None","0"
10000,"36 Months",0.5,"MORTGAGE",173000,"0","AZ",0.72,"None",31313.21736,785,3,0,14,"None",3054,5.6,41,13,"None","0"
7500,"36 Months",6,"MORTGAGE",93000,"Home Improvement","CA",9.66,"None",34794.10972,790,3,0,9,"None",50000,0,18,675,"None","0"
2000,"36 Months",10,"MORTGAGE",118000,"Debt Consolidation","AL",0.43,"None",33390.29167,770,0,0,14,"None",4709,18.5,8,16,"None","0"
2850,"36 Months",3,"NOne",45000,"Medical","AL",2.8,"Eight",33868.14236,665,0,4,5,"None",2850,75,19,146,"None","0"
10000,"36 Months",6,"MORTGAGE",150000,"Home Improvement","AL",5.84,"None",34019.32778,790,0,0,7,"None",37152,3.7,19,128,"None","0"
17000,"36 Months",10,"NOne",75000,"Debt Consolidation","AL",9.55,"None",33629.42014,760,1,0,13,"None",3839,16.6,24,65,"None","0"
10000,"36 Months",3,"MORTGAGE",85000,"Home Improvement","AL",3.11,"None",34020.09236,795,0,0,6,"None",37152,3.7,12,103,"None","0"
6500,"36 Months",0.5,"MORTGAGE",45000,"Debt Consolidation","AL",5.87,"None",37591.08889,690,0,0,6,"None",5607,42.2,7,387,"None","0"
2100,"36 Months",0.5,"NOne",110000,"Debt Consolidation","AL",0.22,"None",30000,810,0,0,4,"None",50,0.3,6,48,"None","0"
7200,"36 Months",3,"NOne",57000,"Debt Consolidation","AL",20.76,"Eight",35595.11597,665,0,8,14,"None",13552,69.1,18,118,"None","0"
6000,"36 Months",0.5,"MORTGAGE",87300,"0","CA",10.6,"None",36855.30625,690,0,0,11,"None",16813,63.9,13,327,"None","0"
5275,"36 Months",9,"MORTGAGE",85000,"Medical","AZ",2.64,"None",30137.30278,780,0,0,7,"None",5760,16,10,18,"None","0"
6625,"36 Months",3,"NOne",57100,"Debt Consolidation","",13.77,"None",37189.32778,680,0,0,10,"None",11490,95.7,11,1000,"None","0"
2525,"36 Months",0.5,"MORTGAGE",40000,"Home Improvement","AZ",20.67,"Eight",34101.46319,690,3,23,13,"None",17641,30.5,24,396,"None","0"
3275,"36 Months",1,"MORTGAGE",62000,"Medical","AZ",3.83,"None",35672.18333,700,1,0,10,"None",7089,41.9,25,18,"None","0"
5500,"36 Months",6,"NOne",54000,"Debt Consolidation","AZ",6.29,"None",34263.48681,740,0,0,7,"None",18388,68.9,22,380,"None","0"
1200,"36 Months",1,"MORTGAGE",32000,"0","AZ",1.13,"None",37445.05556,675,2,54,2,"None",613,76.6,7,38,"None","0"
10000,"36 Months",2,"NOne",36400,"Debt Consolidation","AL",18.92,"None",37146.08194,680,1,41,9,"None",9166,50.4,20,199,"None","0"
3000,"36 Months",1,"MORTGAGE",18000,"Debt Consolidation","AZ",15.4,"None",30000,705,1,0,9,"None",12003,40.4,9,55,"None","0"
